2026-08-07 00:08:40,569 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,570 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,570 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,582 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,584 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,600 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,613 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,616 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,616 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,616 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,632 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,632 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,644 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,647 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,647 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,647 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,660 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,662 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,680 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,680 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,707 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,710 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,710 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,710 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,713 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,715 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,726 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:40,727 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:40,753 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:40,755 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:40,756 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
